rec_id,query_id,session_id,recommendation_type,top_pick,all_picks,estimated_cost,estimated_days,ai_mode,created_at
rec_621e87752e00,query_11ebeafa8998,chat-1775239181500-j18fk3,chat_answer,,,,,expert,2026-04-03T18:00:22.193226+00:00
rec_d8f4ff4fadea,query_04cbe26d0d11,chat-1775294810809-bon09t,chat_answer,,,,,expert,2026-04-04T09:27:12.511496+00:00
rec_38516b20bc60,query_533ecf7db1f8,chat-1775294810809-bon09t,chat_answer,,,,,expert,2026-04-04T09:28:24.124833+00:00
rec_553a494b9b9b,query_0295cf034524,chat-1775297565201-gfbyn4,chat_answer,,,,,expert,2026-04-04T10:40:46.494639+00:00
rec_3b2b809832b2,query_a2e43dc26014,chat-1775299287161-nb6r12,chat_answer,,,,,expert,2026-04-04T10:41:48.050748+00:00
rec_b3b7e5421841,query_6e13e7c734e5,chat-1775299898483-1k6gz0,chat_answer,,,,,expert,2026-04-04T10:52:57.900075+00:00
rec_4c902836f00f,query_2368e28b8284,chat-1775299898483-1k6gz0,chat_answer,,,,,expert,2026-04-04T10:53:36.853145+00:00
rec_93e1e4f9f7de,query_d8fac2f46f38,chat-1775299898483-1k6gz0,chat_answer,,,,,expert,2026-04-04T10:53:52.206783+00:00
rec_e14a651fe4fa,query_1ddf8f8ea93b,chat_72b1ab700dd5,chat_answer,,,,,expert,2026-04-04T19:29:44.426368+00:00
rec_b60bac615549,query_cb44fca09dc5,chat_dba9b9177129,chat_answer,,,,,expert,2026-04-04T19:29:48.968190+00:00
rec_b814985c3b09,query_e7bf093e9899,chat_c98446291094,chat_answer,,,,,expert,2026-04-04T19:29:49.898647+00:00
rec_832d04f4ff1d,query_23aeb76f8f28,chat_565585d2af24,chat_answer,,,,,expert,2026-04-04T19:29:50.146637+00:00
rec_402ca6bfe3ee,query_98bcf6f8c6a8,chat_f2329b99359b,chat_answer,,,,,expert,2026-04-04T19:29:50.775877+00:00
rec_f0b65e29c972,query_042b32bd797d,chat_3b68e6047f75,chat_answer,,,,,expert,2026-04-04T19:29:53.151855+00:00
rec_bbca4c9676c5,query_62b9e90729d4,chat_e8c58c93606d,chat_answer,,,,,expert,2026-04-04T19:34:26.352182+00:00
rec_218cd3114ba8,query_59071f56cd5a,chat-1775336681705-xtzikn,chat_answer,,,,,expert,2026-04-04T21:04:44.657907+00:00
rec_c85cee40950a,query_bdf853ee0862,chat-1775338033261-94n4fz,chat_answer,Pune,Pune,,,trip,2026-04-04T21:27:45.802395+00:00
rec_d9d35ee323bc,query_59c9ebab5bbd,chat-1775338080745-j2k6a6,chat_answer,,,,,expert,2026-04-04T21:28:11.415355+00:00
rec_fe1318c17ccb,query_c187e0b5f65f,chat-1775338330869-io8tft,chat_answer,,,,,expert,2026-04-04T21:32:36.543346+00:00
rec_dfda0c5d2c22,query_1c43c867ee46,chat-1775338532962-eg3asn,chat_answer,,,,,expert,2026-04-04T21:35:39.711183+00:00
rec_ba283efa3322,query_181cfa0fddd4,chat-1775338532962-eg3asn,chat_answer,,,,,expert,2026-04-04T21:36:13.497502+00:00
rec_9aac71117926,query_0afe906e3aab,chat-1775338578205-djf7jj,chat_answer,,,,,expert,2026-04-04T21:36:34.956937+00:00
rec_81ebcc0994bd,query_a0d135d9e68b,chat-1775338832578-q2nqw9,chat_answer,,,,,expert,2026-04-04T21:40:39.679566+00:00
rec_2067d5c1d75d,query_9e281a31906e,chat-1775338832578-q2nqw9,chat_answer,,,,,expert,2026-04-04T21:40:54.199238+00:00
rec_c4873b4cf1f4,query_6f230c887803,chat-1775338957452-g6bqng,chat_answer,,,,,expert,2026-04-04T21:43:01.242800+00:00
rec_895e241aa78b,query_6d8b5fd50a04,chat-1775339009457-f3o10n,chat_answer,,,,,expert,2026-04-04T21:43:35.561763+00:00
rec_f71c6d5c40b6,query_958b53459ae8,chat-1775339206923-keavy2,chat_answer,Goa,Goa,,,expert,2026-04-04T21:46:55.843768+00:00
